INFO [config.py:54]:2025-09-22 12:19:14,425:PyTorch version 2.5.1 available.
INFO [main.py:49]:2025-09-22 12:19:16,360: Initializing ollama and Redis
INFO [utils_backend.py:18]:2025-09-22 12:19:16,376:Initiating expired session cleanup in Redis
INFO [main.py:116]:2025-09-22 12:25:37,795: Validating: admin_compliance
INFO [main.py:119]:2025-09-22 12:25:37,795:Invalid username or password 
INFO [timing.py:139]:2025-09-22 12:25:37,796:TIMING: Wall:    2.1ms | CPU:    0.0ms | timing.app.main.validate_user
INFO [main.py:101]:2025-09-22 12:30:57,802: Creating user: admin_compliance
INFO [main.py:108]:2025-09-22 12:30:57,802: User successfully created in DB: admin_compliance
INFO [timing.py:139]:2025-09-22 12:30:57,802:TIMING: Wall:    1.9ms | CPU:   10.0ms | timing.app.main.create_user
INFO [main.py:101]:2025-09-22 12:35:16,200: Creating user: admin_compliance
INFO [main.py:108]:2025-09-22 12:35:16,201: User successfully created in DB: admin_compliance
INFO [timing.py:139]:2025-09-22 12:35:16,201:TIMING: Wall:    2.2ms | CPU:    0.0ms | timing.app.main.create_user
INFO [main.py:116]:2025-09-22 12:35:36,639: Validating: admin_compliance
INFO [main.py:124]:2025-09-22 12:35:36,820: Validation successful for admin_compliance
INFO [timing.py:139]:2025-09-22 12:35:36,821:TIMING: Wall:  181.9ms | CPU:  180.0ms | timing.app.main.validate_user
INFO [main.py:135]:2025-09-22 12:35:36,877: Initializing session: d4f14d99-8829-4733-8e18-c2a0d9f7b906 for user admin_compliance
INFO [timing.py:139]:2025-09-22 12:35:37,029:TIMING: Wall:  153.5ms | CPU:  140.0ms | timing.app.main.start_conversation
INFO [timing.py:139]:2025-09-22 12:38:07,248:TIMING: Wall:    1.4ms | CPU:    0.0ms | timing.app.main.create_collection
INFO [timing.py:139]:2025-09-22 12:38:20,425:TIMING: Wall:    0.6ms | CPU:    0.0ms | timing.app.main.create_collection
INFO [config.py:54]:2025-09-22 12:40:41,168:PyTorch version 2.5.1 available.
INFO [main.py:49]:2025-09-22 12:40:42,858: Initializing ollama and Redis
INFO [utils_backend.py:18]:2025-09-22 12:40:42,864:Initiating expired session cleanup in Redis
INFO [timing.py:139]:2025-09-22 12:40:49,173:TIMING: Wall:    1.3ms | CPU:    0.0ms | timing.app.main.welcome
INFO [timing.py:139]:2025-09-22 12:40:49,314:TIMING: Wall:    0.4ms | CPU:    0.0ms | <Path: /favicon.ico>
INFO [milvus_ingest.py:287]:2025-09-22 12:41:01,333:Created collection compliance_center
INFO [timing.py:139]:2025-09-22 12:41:01,337:TIMING: Wall:  538.5ms | CPU:   40.0ms | timing.app.main.create_collection
INFO [main.py:116]:2025-09-22 12:43:47,311: Validating: admin_compliance
INFO [main.py:124]:2025-09-22 12:43:47,511: Validation successful for admin_compliance
INFO [timing.py:139]:2025-09-22 12:43:47,512:TIMING: Wall:  201.1ms | CPU:  190.0ms | timing.app.main.validate_user
INFO [main.py:135]:2025-09-22 12:43:47,523: Initializing session: 745c752c-2abd-424e-9faa-e489bc21853f for user admin_compliance
INFO [main.py:163]:2025-09-22 12:43:47,697:Successfully set up session variables in Redis for session: 745c752c-2abd-424e-9faa-e489bc21853f 
INFO [main.py:178]:2025-09-22 12:43:47,699:Started session: 745c752c-2abd-424e-9faa-e489bc21853f
INFO [timing.py:139]:2025-09-22 12:43:47,699:TIMING: Wall:  177.9ms | CPU:  180.0ms | timing.app.main.start_conversation
INFO [main.py:279]:2025-09-22 12:43:47,703:Getting existing conversation ids for user: admin_compliance on user login
INFO [timing.py:139]:2025-09-22 12:43:47,703:TIMING: Wall:    1.2ms | CPU:    0.0ms | timing.app.main.get_existing_conv_id
INFO [main.py:304]:2025-09-22 12:43:48,111: Getting available documents to chat for session: 745c752c-2abd-424e-9faa-e489bc21853f and collection compliance_center
INFO [timing.py:139]:2025-09-22 12:43:48,528:TIMING: Wall:  417.9ms | CPU:   30.0ms | timing.app.main.get_docs
INFO [main.py:361]:2025-09-22 12:44:11,832:User: admin_compliance ingesting file: /tmp/gradio/252610e03dc1534101cfbccbd3a4a80bbc571114c892ab4d5a54eb34d0b58eca/KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf to collection: compliance_center
INFO [main.py:386]:2025-09-22 12:44:11,834:New file in /home/tobi/crispy-octo-dollop/data folder: KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf
INFO [docling_parse_process.py:514]:2025-09-22 12:44:11,849:Date extracted for markitdown for KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf: 22-09-2025
INFO [docling_parse_process.py:526]:2025-09-22 12:44:11,849:Cache not found for this file KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf. Continuing with parsing.
INFO [document.py:321]:2025-09-22 12:44:11,853:detected formats: [<InputFormat.PDF: 'pdf'>]
INFO [document_converter.py:284]:2025-09-22 12:44:11,963:Going to convert document batch...
INFO [document_converter.py:319]:2025-09-22 12:44:11,964:Initializing pipeline for StandardPdfPipeline with options hash edfafc85ecb0f718824d543e40889984
INFO [base_factory.py:112]:2025-09-22 12:44:11,989:Loading plugin 'docling_defaults'
INFO [__init__.py:16]:2025-09-22 12:44:11,989:Registered ocr engines: ['easyocr', 'ocrmac', 'rapidocr', 'tesserocr', 'tesseract']
WARNING [accelerator_utils.py:66]:2025-09-22 12:44:11,992:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:44:11,992:Accelerator device: 'cpu'
WARNING [accelerator_utils.py:66]:2025-09-22 12:44:50,850:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:44:50,851:Accelerator device: 'cpu'
INFO [base_factory.py:112]:2025-09-22 12:44:51,539:Loading plugin 'docling_defaults'
INFO [__init__.py:26]:2025-09-22 12:44:51,540:Registered picture descriptions: ['vlm', 'api']
INFO [base_pipeline.py:39]:2025-09-22 12:44:51,540:Processing document KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf
INFO [document_converter.py:299]:2025-09-22 12:46:54,291:Finished converting document KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf in 162.44 sec.
INFO [docling_parse_process.py:534]:2025-09-22 12:46:54,463:Saving png for file KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf, total pages: 29
INFO [docling_parse_process.py:537]:2025-09-22 12:47:02,211:Docling parsing successful for file KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf
INFO [utils_ingestion.py:72]:2025-09-22 12:47:02,318:Chunking document of 52 elements post parsing for collection compliance_center for session: 745c752c-2abd-424e-9faa-e489bc21853f
INFO [utils_ingestion.py:76]:2025-09-22 12:47:02,409:ingesting 19 rows for session: 745c752c-2abd-424e-9faa-e489bc21853f to collection compliance_center
INFO [milvus_ingest.py:238]:2025-09-22 12:47:02,721:Embedding new chunks
INFO [milvus_ingest.py:62]:2025-09-22 12:47:02,731:Encoding text using embeddinggemma
INFO [milvus_ingest.py:62]:2025-09-22 12:47:02,748:Encoding text using embeddinggemma
INFO [milvus_ingest.py:62]:2025-09-22 12:47:02,764:Encoding text using embeddinggemma
INFO [_client.py:1786]:2025-09-22 12:47:19,836:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [_client.py:1786]:2025-09-22 12:47:38,826:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [_client.py:1786]:2025-09-22 12:48:01,102:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [utils_ingestion.py:78]:2025-09-22 12:48:01,163: Milvus reponse to ingestion of /home/tobi/crispy-octo-dollop/data/KISTERS_IS_Klassifikation_ZutrittZugangZugriff.pdf for session: 745c752c-2abd-424e-9faa-e489bc21853f is Ingestion Successful
INFO [timing.py:139]:2025-09-22 12:48:01,164:TIMING: Wall: 229333.2ms | CPU: 1713620.0ms | timing.app.main.ingest_file_frontend
INFO [main.py:304]:2025-09-22 12:48:01,167: Getting available documents to chat for session: 745c752c-2abd-424e-9faa-e489bc21853f and collection compliance_center
INFO [timing.py:139]:2025-09-22 12:48:01,807:TIMING: Wall:  640.1ms | CPU:   20.0ms | timing.app.main.get_docs
INFO [main.py:361]:2025-09-22 12:49:51,134:User: admin_compliance ingesting file: /tmp/gradio/5ba4a9bde86970c5f721e394f947cd0ea13475c14e9168573e93809107e1233b/KISTERS_IS_Guideline.pdf to collection: compliance_center
INFO [main.py:386]:2025-09-22 12:49:51,136:New file in /home/tobi/crispy-octo-dollop/data folder: KISTERS_IS_Guideline.pdf
INFO [docling_parse_process.py:514]:2025-09-22 12:49:51,148:Date extracted for markitdown for KISTERS_IS_Guideline.pdf: 22-09-2025
INFO [docling_parse_process.py:526]:2025-09-22 12:49:51,149:Cache not found for this file KISTERS_IS_Guideline.pdf. Continuing with parsing.
INFO [document.py:321]:2025-09-22 12:49:51,152:detected formats: [<InputFormat.PDF: 'pdf'>]
INFO [document_converter.py:284]:2025-09-22 12:49:51,156:Going to convert document batch...
INFO [document_converter.py:319]:2025-09-22 12:49:51,157:Initializing pipeline for StandardPdfPipeline with options hash edfafc85ecb0f718824d543e40889984
WARNING [accelerator_utils.py:66]:2025-09-22 12:49:51,157:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:49:51,157:Accelerator device: 'cpu'
WARNING [accelerator_utils.py:66]:2025-09-22 12:49:52,101:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:49:52,101:Accelerator device: 'cpu'
INFO [base_pipeline.py:39]:2025-09-22 12:49:52,473:Processing document KISTERS_IS_Guideline.pdf
INFO [document_converter.py:299]:2025-09-22 12:50:52,822:Finished converting document KISTERS_IS_Guideline.pdf in 61.67 sec.
INFO [docling_parse_process.py:534]:2025-09-22 12:50:53,070:Saving png for file KISTERS_IS_Guideline.pdf, total pages: 26
INFO [docling_parse_process.py:537]:2025-09-22 12:51:00,487:Docling parsing successful for file KISTERS_IS_Guideline.pdf
INFO [utils_ingestion.py:72]:2025-09-22 12:51:00,577:Chunking document of 59 elements post parsing for collection compliance_center for session: 745c752c-2abd-424e-9faa-e489bc21853f
INFO [utils_ingestion.py:76]:2025-09-22 12:51:00,635:ingesting 17 rows for session: 745c752c-2abd-424e-9faa-e489bc21853f to collection compliance_center
INFO [milvus_ingest.py:238]:2025-09-22 12:51:00,927:Embedding new chunks
INFO [milvus_ingest.py:62]:2025-09-22 12:51:00,943:Encoding text using embeddinggemma
INFO [milvus_ingest.py:62]:2025-09-22 12:51:00,968:Encoding text using embeddinggemma
INFO [milvus_ingest.py:62]:2025-09-22 12:51:00,989:Encoding text using embeddinggemma
INFO [_client.py:1786]:2025-09-22 12:51:08,683:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [_client.py:1786]:2025-09-22 12:51:28,705:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [_client.py:1786]:2025-09-22 12:51:43,815:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [utils_ingestion.py:78]:2025-09-22 12:51:43,858: Milvus reponse to ingestion of /home/tobi/crispy-octo-dollop/data/KISTERS_IS_Guideline.pdf for session: 745c752c-2abd-424e-9faa-e489bc21853f is Ingestion Successful
